"","PNUM_F_CC111_NSA_I10","PNUM_F_CC111_NSA_I15","PNUM_F_CC111_NSA_PCH_SM","PNUM_F_CC111_SCA_I10","PNUM_F_CC111_SCA_I15","PNUM_F_CC111_SCA_PCH_PRE","PNUM_F_CC112_NSA_I10","PNUM_F_CC112_NSA_I15","PNUM_F_CC112_NSA_PCH_SM","PNUM_F_CC112_SCA_I10","PNUM_F_CC112_SCA_I15","PNUM_F_CC112_SCA_PCH_PRE","PNUM_F_CC11_X_CC113_NSA_I10","PNUM_F_CC11_X_CC113_NSA_I15","PNUM_F_CC11_X_CC113_NSA_PCH_SM","PNUM_F_CC11_X_CC113_SCA_I10","PNUM_F_CC11_X_CC113_SCA_I15","PNUM_F_CC11_X_CC113_SCA_PCH_PRE","PSQM_F_CC1_NSA_I10","PSQM_F_CC1_NSA_I15","PSQM_F_CC1_NSA_PCH_SM","PSQM_F_CC1_SCA_I10","PSQM_F_CC1_SCA_I15","PSQM_F_CC1_SCA_PCH_PRE","PSQM_F_CC11_NSA_I10","PSQM_F_CC11_NSA_I15","PSQM_F_CC11_NSA_PCH_SM","PSQM_F_CC11_SCA_I10","PSQM_F_CC11_SCA_I15","PSQM_F_CC11_SCA_PCH_PRE","PSQM_F_CC111_NSA_I10","PSQM_F_CC111_NSA_I15","PSQM_F_CC111_NSA_PCH_SM","PSQM_F_CC111_SCA_I10","PSQM_F_CC111_SCA_I15","PSQM_F_CC111_SCA_PCH_PRE","PSQM_F_CC112_NSA_I10","PSQM_F_CC112_NSA_I15","PSQM_F_CC112_NSA_PCH_SM","PSQM_F_CC112_SCA_I10","PSQM_F_CC112_SCA_I15","PSQM_F_CC112_SCA_PCH_PRE","PSQM_F_CC113_NSA_I15","PSQM_F_CC113_NSA_PCH_SM","PSQM_F_CC113_SCA_I15","PSQM_F_CC113_SCA_PCH_PRE","PSQM_F_CC11_X_CC113_NSA_I10","PSQM_F_CC11_X_CC113_NSA_I15","PSQM_F_CC11_X_CC113_NSA_PCH_SM","PSQM_F_CC11_X_CC113_SCA_I10","PSQM_F_CC11_X_CC113_SCA_I15","PSQM_F_CC11_X_CC113_SCA_PCH_PRE","PSQM_F_CC12_NSA_I10","PSQM_F_CC12_NSA_I15","PSQM_F_CC12_NSA_PCH_SM","PSQM_F_CC12_SCA_I10","PSQM_F_CC12_SCA_I15","PSQM_F_CC12_SCA_PCH_PRE","PSQM_F_CC122_NSA_I10","PSQM_F_CC122_NSA_I15","PSQM_F_CC122_NSA_PCH_SM","PSQM_F_CC122_SCA_I10","PSQM_F_CC122_SCA_I15","PSQM_F_CC122_SCA_PCH_PRE","PSQM_F_CC12_X_CC122_NSA_I10","PSQM_F_CC12_X_CC122_NSA_I15","PSQM_F_CC12_X_CC122_NSA_PCH_SM","PSQM_F_CC12_X_CC122_SCA_I10","PSQM_F_CC12_X_CC122_SCA_I15","PSQM_F_CC12_X_CC122_SCA_PCH_PRE","YEAR","MONTH"
"75","73.4 e","105.6 ","-24.0 ","64.6 s","92.4 s","-2.4 s","116.0 e","121.5 ","-15.1 ","91.9 s","97.0 s","-5.8 s","94.8 e","114.4 ","-19.0 ","78.6 s","95.3 s","-3.7 s","102.9 e","127.1 ","-9.7 ","92.0 s","112.9 s","7.5 s","89.0 e","112.2 ","-22.2 ","74.0 s","95.5 s","-5.1 s","73.3 e","105.4 ","-25.9 ","61.8 s","88.3 s","-3.5 s","117.0 e","124.7 ","-15.2 ","93.3 s","100.1 s","-4.4 s","83.7 ","-40.5 ","68.6 s","-46.9 s","89.0 e","113.4 ","-21.4 ","73.3 s","93.6 s","-3.2 s","116.3 e","141.0 ","2.5 ","106.5 s","128.4 s","11.9 s","131.4 e","141.5 ","-20.7 ","117.9 s","127.9 s","21.8 s","114.5 e","141.0 ","6.7 ","105.6 s","129.1 s","11.7 s","2013","07 "
"76","68.4 e","98.4 ","-28.5 ","65.5 s","94.7 s","4.2 s","106.9 e","105.6 ","-14.8 ","103.5 s","103.0 s","15.7 s","87.7 e","102.4 ","-21.2 ","84.5 s","99.0 s","11.1 s","92.9 e","114.8 ","-14.8 ","84.5 s","105.0 s","-2.9 s","82.2 e","103.6 ","-22.7 ","78.3 s","100.6 s","9.8 s","67.8 e","97.4 ","-30.6 ","63.4 s","91.5 s","2.2 s","107.7 e","108.4 ","-14.8 ","103.0 s","104.7 s","10.4 s","140.1 ","21.4 ","129.1 s","50.1 s","82.2 e","102.0 ","-24.3 ","77.5 s","96.7 s","5.3 s","103.2 e","125.1 ","-7.6 ","94.2 s","114.7 s","-5.0 s","97.5 e","105.0 ","-19.3 ","96.9 s","105.0 s","-16.7 s","103.9 e","127.8 ","-6.2 ","93.6 s","115.6 s","-3.7 s","2013","06 "
"77","62.2 e","89.6 ","-20.8 ","62.8 s","90.9 s","-9.5 s","82.5 e","82.8 ","-30.1 ","89.4 s","89.0 s","-14.3 s","72.4 e","85.8 ","-26.1 ","75.4 s","89.1 s","-12.1 s","83.1 e","102.6 ","-12.9 ","87.8 s","108.1 s","-3.3 s","69.7 e","87.8 ","-24.9 ","74.4 s","91.6 s","-11.5 s","61.4 e","88.4 ","-23.3 ","61.9 s","89.5 s","-11.2 s","84.6 e","87.5 ","-29.1 ","92.2 s","94.8 s","-13.3 s","83.8 ","10.1 ","86.0 s","-6.8 s","69.7 e","88.0 ","-25.9 ","73.1 s","91.8 s","-11.6 s","96.0 e","116.4 ","-1.8 ","99.8 s","120.8 s","3.1 s","102.9 e","110.8 ","5.9 ","115.8 s","126.1 s","39.8 s","95.2 e","117.1 ","-2.7 ","98.0 s","120.0 s","-0.2 s","2013","05 "
"78","67.2 e","96.8 ","-21.2 ","69.4 s","100.4 s","-28.8 s","94.2 e","96.4 ","-18.1 ","102.0 s","103.9 s","-12.3 s","80.8 e","96.6 ","-19.5 ","84.9 s","101.4 s","-21.7 s","82.4 e","101.7 ","-11.3 ","90.3 s","111.8 s","-6.3 s","77.7 e","97.5 ","-21.2 ","83.8 s","103.5 s","-20.1 s","66.8 e","96.1 ","-23.3 ","70.0 s","100.8 s","-25.9 s","96.9 e","100.9 ","-18.6 ","105.7 s","109.4 s","-8.5 s","83.7 ","-18.2 ","92.3 s","-15.8 s","77.7 e","98.1 ","-21.4 ","82.4 s","103.8 s","-19.9 s","87.0 e","105.5 ","-0.5 ","95.9 s","117.2 s","3.7 s","74.4 e","80.1 ","-32.3 ","82.5 s","90.2 s","-14.6 s","88.5 e","109.0 ","4.5 ","97.3 s","120.3 s","5.7 s","2013","04 "
"79","97.9 e","140.5 ","11.1 ","98.2 s","141.0 s","-29.0 s","121.1 e","123.6 ","3.9 ","114.7 s","118.5 s","10.6 s","109.5 e","131.1 ","7.2 ","107.4 s","129.5 s","-13.3 s","100.6 e","124.3 ","-5.0 ","96.4 s","119.3 s","-11.7 s","105.0 e","132.2 ","-1.3 ","99.9 s","129.5 s","-20.5 s","94.8 e","136.1 ","4.9 ","94.6 s","136.0 s","-34.0 s","123.1 e","128.2 ","-3.5 ","113.0 s","119.5 s","6.7 s","119.6 ","-41.3 ","109.6 s","70.5 s","105.0 e","132.8 ","1.4 ","101.5 s","129.6 s","-22.1 s","96.4 e","116.9 ","-8.7 ","93.2 s","113.0 s","0.0 s","96.1 e","103.5 ","-14.0 ","101.1 s","105.6 s","-17.2 s","96.4 e","118.7 ","-8.1 ","92.0 s","113.8 s","2.2 s","2013","03 "
"80","135.0 e","194.4 ","45.3 ","137.8 s","198.7 s","18.8 s","84.7 e","90.1 ","2.0 ","101.8 s","107.1 s","9.6 s","109.8 e","136.3 ","25.6 ","121.1 s","149.4 s","14.7 s","102.3 e","126.4 ","3.9 ","109.6 s","135.1 s","0.1 s","121.2 e","152.7 ","27.9 ","128.5 s","162.8 s","14.8 s","140.0 e","201.5 ","47.2 ","143.2 s","206.2 s","19.6 s","88.0 e","94.9 ","1.9 ","105.2 s","112.0 s","7.6 s","52.5 ","-61.6 ","64.3 s","-27.3 s","121.2 e","157.1 ","32.5 ","129.1 s","166.4 s","16.5 s","84.1 e","102.0 ","-17.5 ","93.8 s","113.0 s","-10.9 s","112.3 e","120.9 ","-39.0 ","117.7 s","127.5 s","18.7 s","80.8 e","99.4 ","-12.4 ","91.4 s","111.4 s","-13.7 s","2013","02 "
"81","119.3 e","171.8 ","15.8 ","116.5 s","167.3 s","17.9 s","79.9 e","83.2 ","-14.3 ","94.0 s","97.7 s","-1.7 s","99.6 e","122.4 ","2.2 ","106.4 s","130.2 s","10.1 s","102.8 e","127.0 ","4.1 ","110.0 s","135.0 s","21.6 s","109.1 e","137.3 ","6.8 ","110.2 s","141.8 s","16.3 s","123.1 e","177.1 ","17.4 ","119.6 s","172.4 s","20.9 s","84.4 e","89.3 ","-12.1 ","99.2 s","104.1 s","0.9 s","62.9 ","-26.0 ","88.4 s","67.1 s","109.1 e","140.6 ","7.8 ","111.2 s","142.8 s","13.6 s","96.8 e","117.3 ","1.2 ","106.0 s","126.8 s","20.5 s","91.5 e","98.6 ","-9.4 ","101.7 s","107.4 s","-2.4 s","97.4 e","119.9 ","2.6 ","106.4 s","129.1 s","23.2 s","2013","01 "
"82","96.5 e","138.4 ","-4.9 ","99.2 s","141.9 s","13.9 s","101.2 e","108.4 ","-26.4 ","92.7 s","99.4 s","6.5 s","98.9 e","121.7 ","-16.9 ","95.9 s","118.3 s","10.0 s","89.9 e","111.0 ","-17.4 ","89.7 s","111.0 s","-9.5 s","99.3 e","125.1 ","-14.4 ","96.2 s","121.9 s","7.0 s","96.9 e","139.3 ","-4.5 ","99.3 s","142.6 s","13.0 s","103.4 e","111.9 ","-25.7 ","94.8 s","103.2 s","4.7 s","61.4 ","-43.6 ","52.9 s","-55.5 s","99.3 e","127.9 ","-13.5 ","97.1 s","125.7 s","8.6 s","80.8 e","98.0 ","-20.6 ","87.0 s","105.2 s","-18.0 s","108.4 e","116.7 ","-10.1 ","101.6 s","110.0 s","-10.8 s","77.6 e","95.4 ","-22.2 ","85.5 s","104.8 s","-18.6 s","2012","12 "
"83","77.9 e","112.3 ","-8.9 ","86.6 s","124.6 s","1.1 s","89.2 e","85.9 ","-23.8 ","95.5 s","93.3 s","-4.2 s","83.6 e","97.6 ","-16.9 ","91.2 s","107.5 s","-1.0 s","92.1 e","113.8 ","-1.6 ","99.4 s","122.6 s","-2.7 s","82.6 e","104.0 ","-13.0 ","91.9 s","113.9 s","-3.6 s","78.9 e","113.7 ","-8.2 ","87.8 s","126.2 s","-0.2 s","89.1 e","89.7 ","-24.5 ","97.6 s","98.6 s","-6.5 s","111.1 ","55.4 ","118.9 s","-14.9 s","82.6 e","103.7 ","-14.8 ","92.2 s","115.7 s","-2.9 s","101.3 e","122.8 ","9.4 ","106.1 s","128.3 s","0.3 s","114.8 e","123.6 ","22.5 ","115.0 s","123.3 s","13.6 s","99.7 e","122.7 ","7.9 ","104.9 s","128.7 s","-1.5 s","2012","11 "
"84","88.0 e","126.6 ","0.0 ","85.8 s","123.3 s","-2.7 s","121.7 e","119.8 ","-8.0 ","99.8 s","97.4 s","-13.4 s","104.9 e","122.8 ","-4.5 ","92.7 s","108.6 s","-8.9 s","111.6 e","137.9 ","-5.9 ","102.0 s","126.0 s","1.4 s","103.0 e","129.9 ","-1.7 ","96.1 s","118.2 s","-4.1 s","89.1 e","128.1 ","1.1 ","88.1 s","126.4 s","-2.4 s","127.8 e","128.2 ","-5.7 ","105.9 s","105.4 s","-7.6 s","169.2 ","0.2 ","139.8 s","54.5 s","103.0 e","128.1 ","-1.9 ","96.2 s","119.2 s","-3.1 s","119.9 e","145.4 ","-9.1 ","104.8 s","127.9 s","-1.5 s","116.0 e","125.0 ","-28.4 ","100.3 s","108.5 s","-14.1 s","120.3 e","148.1 ","-6.3 ","105.3 s","130.7 s","0.7 s","2012","10 "
"85","91.4 e","131.5 ","-14.7 ","88.5 s","126.7 s","-1.4 s","113.3 e","117.3 ","-26.2 ","110.4 s","112.5 s","-7.7 s","102.4 e","123.6 ","-21.2 ","100.0 s","119.2 s","-3.9 s","108.2 e","133.5 ","-6.8 ","100.9 s","124.2 s","-2.3 s","101.9 e","127.8 ","-18.5 ","97.1 s","123.2 s","-7.7 s","94.0 e","135.3 ","-13.0 ","90.2 s","129.5 s","-0.1 s","115.8 e","121.0 ","-26.6 ","110.4 s","114.1 s","-9.0 s","93.4 ","-4.2 ","90.5 s","-68.4 s","101.9 e","129.4 ","-18.9 ","97.3 s","123.0 s","-2.8 s","114.4 e","138.7 ","6.3 ","106.8 s","129.8 s","7.7 s","133.6 e","143.9 ","40.7 ","117.5 s","126.3 s","-25.6 s","112.1 e","138.0 ","2.8 ","105.1 s","129.8 s","13.6 s","2012","09 "
"86","82.8 e","119.0 ","-6.3 ","88.9 s","128.5 s","2.4 s","119.2 e","102.5 ","-12.6 ","141.1 s","121.9 s","2.8 s","101.1 e","109.8 ","-9.7 ","113.9 s","124.1 s","1.7 s","95.6 e","118.0 ","-5.9 ","102.1 s","127.1 s","0.4 s","94.9 e","119.5 ","-2.8 ","104.9 s","133.5 s","5.2 s","84.2 e","121.2 ","-7.1 ","89.7 s","129.6 s","0.8 s","113.9 e","104.2 ","-12.4 ","135.9 s","125.4 s","3.0 s","241.9 ","289.5 ","286.5 s","149.1 s","94.9 e","114.1 ","-9.2 ","104.5 s","126.5 s","-0.7 s","96.2 e","116.7 ","-8.6 ","98.1 s","120.5 s","-3.8 s","147.1 e","158.4 ","51.1 ","157.1 s","169.7 s","4.0 s","90.2 e","111.1 ","-15.0 ","91.6 s","114.3 s","-5.2 s","2012","08 "
"87","96.7 e","139.0 ","-8.5 ","87.7 s","125.5 s","-2.0 s","139.8 e","143.1 ","-5.4 ","114.9 s","118.6 s","1.2 s","118.3 e","141.3 ","-6.8 ","101.8 s","122.0 s","0.4 s","113.9 e","140.8 ","-5.0 ","103.0 s","126.6 s","1.4 s","114.3 e","144.2 ","-7.1 ","101.1 s","126.9 s","0.8 s","98.9 e","142.3 ","-8.1 ","89.6 s","128.6 s","-1.1 s","141.7 e","147.1 ","-5.2 ","116.3 s","121.8 s","1.2 s","140.7 ","-13.7 ","115.0 s","6.7 s","114.3 e","144.3 ","-6.9 ","100.6 s","127.4 s","1.0 s","113.5 e","137.6 ","-2.9 ","103.8 s","125.3 s","0.0 s","165.7 e","178.5 ","10.9 ","150.3 s","163.1 s","24.9 s","107.4 e","132.1 ","-5.0 ","98.5 s","120.6 s","-2.9 s","2012","07 "
"88","95.6 e","137.6 ","-13.2 ","88.6 s","128.0 s","11.7 s","121.7 e","124.0 ","1.2 ","114.6 s","117.2 s","-7.6 s","108.7 e","130.0 ","-6.1 ","101.3 s","121.5 s","1.0 s","109.2 e","134.8 ","2.1 ","100.8 s","124.9 s","1.7 s","106.5 e","134.0 ","-6.8 ","100.2 s","125.9 s","3.5 s","97.5 e","140.3 ","-12.3 ","90.1 s","130.0 s","11.9 s","122.5 e","127.2 ","2.4 ","115.4 s","120.4 s","-9.5 s","115.4 ","2.1 ","107.8 s","38.7 s","106.5 e","134.8 ","-7.1 ","99.5 s","126.2 s","3.3 s","111.7 e","135.4 ","11.7 ","103.1 s","125.3 s","2.5 s","120.8 e","130.1 ","30.6 ","121.0 s","130.6 s","11.3 s","110.6 e","136.2 ","9.8 ","100.7 s","124.2 s","1.2 s","2012","06 "
"89","78.7 e","113.2 ","-29.7 ","79.3 s","114.6 s","-12.7 s","113.1 e","118.4 ","1.8 ","121.9 s","126.9 s","-3.4 s","95.9 e","116.1 ","-14.7 ","99.7 s","120.3 s","-7.7 s","95.4 e","117.8 ","-12.0 ","99.6 s","122.8 s","-1.4 s","92.9 e","116.9 ","-18.6 ","97.0 s","121.7 s","-10.3 s","80.1 e","115.3 ","-29.2 ","80.5 s","116.2 s","-13.2 s","115.6 e","123.5 ","3.0 ","125.0 s","133.0 s","-3.5 s","76.1 ","-31.5 ","77.7 s","-30.6 s","92.9 e","118.7 ","-18.1 ","95.9 s","122.2 s","-8.5 s","97.8 e","118.5 ","-5.2 ","100.9 s","122.2 s","3.9 s","97.1 e","104.6 ","5.3 ","107.7 s","117.3 s","-12.0 s","97.9 e","120.4 ","-6.2 ","100.1 s","122.7 s","6.1 s","2012","05 "
"90","85.8 e","122.9 ","-8.6 ","91.4 s","131.3 s","6.4 s","115.8 e","117.7 ","27.1 ","129.3 s","131.3 s","18.7 s","100.9 e","120.0 ","8.0 ","109.7 s","130.4 s","11.5 s","92.8 e","114.6 ","-7.7 ","100.6 s","124.6 s","-1.3 s","98.4 e","123.8 ","3.1 ","106.6 s","135.6 s","6.4 s","87.3 e","125.3 ","-8.5 ","93.1 s","133.8 s","6.2 s","118.1 e","124.0 ","28.9 ","131.3 s","137.8 s","13.8 s","102.3 ","-17.1 ","111.9 s","-40.3 s","98.4 e","124.8 ","4.0 ","105.4 s","133.6 s","6.9 s","87.4 e","106.0 ","-17.1 ","96.5 s","117.6 s","-5.5 s","109.8 e","118.3 ","-16.6 ","122.1 s","133.3 s","8.7 s","84.8 e","104.3 ","-17.2 ","93.6 s","115.7 s","-7.1 s","2012","04 "
"91","88.0 e","126.5 ","-15.6 ","85.7 s","123.4 s","-9.3 s","123.2 e","119.0 ","7.3 ","113.4 s","110.6 s","6.9 s","105.6 e","122.3 ","-4.6 ","100.4 s","117.0 s","-0.6 s","106.2 e","130.9 ","-3.0 ","102.3 s","126.3 s","-3.3 s","106.8 e","134.0 ","-1.0 ","100.0 s","127.5 s","1.0 s","90.1 e","129.7 ","-15.3 ","87.5 s","126.0 s","-10.5 s","136.3 e","132.8 ","16.4 ","122.7 s","121.1 s","11.6 s","203.6 ","99.8 ","187.4 s","12.8 s","106.8 e","131.0 ","-4.3 ","101.3 s","125.0 s","-1.7 s","105.6 e","128.1 ","-4.8 ","102.6 s","124.4 s","-7.7 s","111.8 e","120.4 ","9.2 ","116.9 s","122.6 s","-41.0 s","104.9 e","129.1 ","-6.4 ","100.8 s","124.6 s","-1.0 s","2012","03 "
"92","93.0 e","133.8 ","-3.5 ","94.4 s","136.0 s","-8.9 s","90.8 e","88.3 ","0.3 ","107.7 s","103.5 s","-11.7 s","91.9 e","108.5 ","-1.7 ","100.4 s","117.7 s","-10.6 s","98.4 e","121.6 ","9.0 ","105.9 s","130.6 s","0.3 s","94.7 e","119.4 ","1.3 ","101.5 s","126.3 s","-7.8 s","95.1 e","136.9 ","-3.1 ","97.8 s","140.8 s","-6.3 s","94.0 e","93.1 ","1.6 ","110.9 s","108.5 s","-10.0 s","136.6 ","138.4 ","166.2 s","41.0 s","94.7 e","118.6 ","-1.7 ","101.9 s","127.1 s","-6.3 s","101.9 e","123.6 ","16.9 ","111.8 s","134.8 s","7.2 s","184.0 e","198.1 ","67.0 ","191.4 s","207.7 s","75.1 s","92.2 e","113.5 ","9.2 ","103.1 s","125.9 s","-0.6 s","2012","02 "
"93","103.0 e","148.3 ","-4.3 ","103.9 s","149.3 s","3.0 s","93.0 e","97.1 ","-0.4 ","112.6 s","117.2 s","-10.2 s","98.0 e","119.8 ","-2.5 ","108.3 s","131.6 s","-4.5 s","98.7 e","122.0 ","-2.0 ","106.0 s","130.2 s","-3.0 s","102.0 e","128.5 ","0.0 ","105.5 s","137.0 s","-0.7 s","104.8 e","150.9 ","-2.0 ","104.2 s","150.3 s","3.2 s","96.9 e","101.6 ","3.4 ","115.6 s","120.5 s","-11.2 s","85.0 ","13.0 ","117.9 s","25.7 s","102.0 e","130.4 ","-0.3 ","106.3 s","135.6 s","-5.0 s","95.6 e","115.9 ","-4.1 ","104.9 s","125.7 s","-3.7 s","101.0 e","108.8 ","16.6 ","112.1 s","118.6 s","-4.3 s","95.0 e","116.9 ","-6.1 ","103.9 s","126.6 s","-3.7 s","2012","01 "
"94","101.2 e","145.6 ","-5.4 ","100.9 s","144.9 s","6.1 s","140.1 e","147.2 ","35.9 ","124.1 s","130.5 s","7.0 s","120.7 e","146.5 ","14.0 ","113.1 s","137.8 s","6.8 s","108.8 e","134.4 ","3.4 ","108.6 s","134.2 s","7.9 s","116.1 e","146.2 ","6.8 ","111.1 s","138.0 s","5.5 s","101.3 e","145.9 ","-6.0 ","101.3 s","145.7 s","6.7 s","142.3 e","150.6 ","34.0 ","127.7 s","135.7 s","4.1 s","108.9 ","-13.4 ","93.8 s","21.8 s","116.1 e","147.8 ","7.6 ","111.7 s","142.8 s","6.8 s","101.8 e","123.4 ","-0.2 ","107.8 s","130.5 s","11.3 s","120.6 e","129.8 ","39.4 ","115.0 s","123.9 s","24.0 s","99.6 e","122.6 ","-4.0 ","107.0 s","131.4 s","10.0 s","2011","12 "
"95","85.7 e","123.3 ","0.2 ","95.1 s","136.6 s","4.3 s","106.9 e","112.7 ","37.3 ","114.3 s","122.0 s","7.6 s","96.3 e","117.4 ","17.0 ","105.0 s","129.0 s","5.9 s","93.8 e","115.7 ","1.7 ","100.9 s","124.4 s","-7.6 s","95.1 e","119.6 ","11.7 ","104.5 s","130.8 s","1.9 s","86.1 e","123.8 ","-0.6 ","95.1 s","136.5 s","3.1 s","111.0 e","118.8 ","39.1 ","121.6 s","130.4 s","10.6 s","71.5 ","-12.9 ","77.0 s","-44.5 s","95.1 e","121.7 ","12.5 ","104.7 s","133.7 s","4.8 s","92.5 e","112.2 ","-6.4 ","97.0 s","117.3 s","-17.7 s","93.7 e","100.9 ","-23.3 ","93.1 s","99.9 s","-34.5 s","92.4 e","113.7 ","-4.0 ","97.3 s","119.5 s","-14.9 s","2011","11 "
"96","88.0 e","126.6 ","-9.4 ","91.2 s","131.0 s","-6.4 s","134.7 e","130.2 ","17.7 ","118.2 s","113.4 s","-20.5 s","111.4 e","128.6 ","4.1 ","105.5 s","121.8 s","-13.9 s","118.7 e","146.6 ","8.2 ","109.0 s","134.7 s","0.3 s","105.0 e","132.2 ","3.9 ","102.4 s","128.3 s","-9.7 s","88.0 e","126.7 ","-7.0 ","92.2 s","132.4 s","-7.1 s","135.0 e","136.0 ","18.5 ","117.8 s","117.9 s","-20.2 s","168.9 ","36.8 ","138.8 s","44.9 s","105.0 e","130.6 ","2.5 ","102.6 s","127.6 s","-13.3 s","132.0 e","160.0 ","11.7 ","116.8 s","142.5 s","16.6 s","162.0 e","174.5 ","59.9 ","141.2 s","152.5 s","68.7 s","128.4 e","158.1 ","7.0 ","113.2 s","140.5 s","11.0 s","2011","10 "
"97","107.1 e","154.1 ","-0.2 ","97.6 s","139.9 s","2.1 s","150.0 e","158.9 ","36.0 ","136.9 s","142.6 s","2.2 s","128.6 e","156.8 ","17.5 ","117.3 s","141.5 s","3.1 s","116.0 e","143.2 ","8.8 ","108.9 s","134.3 s","0.1 s","124.7 e","156.9 ","14.2 ","115.7 s","142.1 s","3.6 s","108.1 e","155.6 ","1.0 ","99.3 s","142.5 s","2.4 s","154.0 e","164.8 ","37.7 ","140.0 s","147.7 s","3.3 s","97.5 ","14.0 ","95.8 s","29.5 s","124.7 e","159.5 ","14.2 ","115.7 s","147.2 s","6.7 s","107.6 e","130.5 ","3.3 ","100.7 s","122.2 s","-6.5 s","95.0 e","102.3 ","2.1 ","84.3 s","90.4 s","-18.3 s","109.1 e","134.3 ","3.5 ","102.7 s","126.6 s","-5.1 s","2011","09 "
"98","88.3 e","127.0 ","-5.1 ","94.8 s","137.0 s","-3.0 s","109.4 e","117.3 ","52.9 ","129.6 s","139.5 s","6.8 s","98.9 e","121.6 ","19.2 ","111.3 s","137.2 s","1.0 s","101.6 e","125.4 ","10.9 ","107.9 s","134.1 s","0.0 s","97.7 e","122.9 ","11.1 ","107.7 s","137.2 s","-2.8 s","90.6 e","130.4 ","-4.3 ","96.4 s","139.1 s","-3.6 s","110.2 e","118.9 ","53.6 ","131.7 s","143.0 s","7.8 s","62.1 ","-27.6 ","74.0 s","-44.3 s","97.7 e","125.6 ","12.4 ","107.4 s","138.0 s","-2.1 s","105.3 e","127.7 ","10.7 ","106.8 s","130.7 s","0.7 s","97.3 e","104.8 ","-17.4 ","102.2 s","110.7 s","-26.0 s","106.2 e","130.7 ","14.9 ","107.4 s","133.4 s","4.3 s","2011","08 "
"99","105.5 e","151.9 ","-15.7 ","98.6 s","141.2 s","-1.1 s","150.2 e","151.3 ","30.4 ","128.3 s","130.6 s","16.2 s","127.9 e","151.6 ","5.0 ","114.2 s","135.8 s","8.6 s","120.1 e","148.2 ","1.0 ","109.1 s","134.1 s","9.9 s","123.4 e","155.3 ","0.6 ","112.1 s","141.2 s","8.0 s","107.6 e","154.8 ","-12.3 ","100.5 s","144.3 s","-0.6 s","151.4 e","155.1 ","32.5 ","128.1 s","132.7 s","15.1 s","163.0 ","-23.3 ","132.9 s","24.4 s","123.4 e","155.0 ","2.1 ","111.8 s","141.0 s","5.9 s","116.9 e","141.7 ","1.4 ","107.4 s","129.8 s","16.7 s","149.4 e","160.9 ","-12.4 ","138.1 s","149.5 s","49.2 s","113.0 e","139.1 ","3.9 ","104.4 s","127.9 s","14.0 s","2011","07 "
"100","110.2 e","158.6 ","-5.0 ","98.8 s","142.7 s","-14.9 s","119.1 e","122.5 ","12.3 ","109.1 s","112.4 s","-12.9 s","114.7 e","138.5 ","2.7 ","103.4 s","125.1 s","-14.2 s","107.0 e","132.0 ","-3.0 ","98.5 s","122.0 s","-11.8 s","114.2 e","143.8 ","1.1 ","105.4 s","130.7 s","-15.1 s","111.1 e","160.0 ","-4.4 ","100.7 s","145.2 s","-13.1 s","119.7 e","124.2 ","11.3 ","110.8 s","115.3 s","-12.9 s","113.0 ","13.5 ","106.8 s","-4.9 s","114.2 e","145.1 ","0.6 ","104.7 s","133.1 s","-12.0 s","100.0 e","121.2 ","-7.1 ","91.7 s","111.2 s","-13.0 s","92.5 e","99.6 ","11.4 ","93.1 s","100.2 s","-8.5 s","100.8 e","124.1 ","-8.7 ","91.1 s","112.2 s","-13.8 s","2011","06 "
"101","111.9 e","161.0 ","16.8 ","116.0 s","167.6 s","16.9 s","113.8 e","116.3 ","23.9 ","126.7 s","129.0 s","24.9 s","112.9 e","136.1 ","20.0 ","121.2 s","145.8 s","20.8 s","108.5 e","133.9 ","15.6 ","112.2 s","138.4 s","3.4 s","114.1 e","143.6 ","20.3 ","119.8 s","153.9 s","17.3 s","113.1 e","162.9 ","17.4 ","115.8 s","167.1 s","15.0 s","115.7 e","119.9 ","23.7 ","127.7 s","132.4 s","24.0 s","111.1 ","46.8 ","112.3 s","-16.1 s","114.1 e","145.0 ","19.5 ","119.0 s","151.2 s","17.4 s","103.1 e","125.0 ","11.0 ","105.5 s","127.8 s","-8.3 s","92.2 e","99.3 ","1.2 ","100.4 s","109.5 s","-31.5 s","104.4 e","128.4 ","12.1 ","105.9 s","130.1 s","-5.2 s","2011","05 "
"102","93.4 e","134.4 ","0.5 ","99.4 s","143.4 s","1.1 s","97.1 e","92.6 ","2.1 ","108.1 s","103.3 s","3.5 s","95.3 e","111.1 ","1.2 ","103.5 s","120.7 s","1.8 s","100.6 e","124.1 ","5.3 ","108.3 s","133.9 s","2.4 s","95.5 e","120.1 ","-0.4 ","103.3 s","131.2 s","4.9 s","95.1 e","136.9 ","1.5 ","100.9 s","145.3 s","-0.3 s","96.1 e","96.2 ","4.1 ","106.4 s","106.8 s","5.2 s","123.4 ","-37.5 ","133.9 s","41.5 s","95.5 e","120.0 ","2.4 ","102.4 s","128.8 s","0.7 s","105.5 e","127.9 ","11.0 ","114.5 s","139.3 s","6.2 s","131.6 e","141.8 ","52.6 ","146.6 s","159.8 s","42.9 s","102.4 e","126.0 ","6.6 ","111.2 s","137.2 s","2.6 s","2011","04 "
